wing,source_domain,Keyword,Position,Search Volume,CPC,Url,Traffic (%),Traffic Cost (%),Competition
Iris Platform,myaifrontdesk.com,386 area code,13,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-386,0.10,0.00,0.33
Iris Platform,myaifrontdesk.com,610 area code,13,60500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-207,0.10,0.00,0.33
Iris Platform,myaifrontdesk.com,956 area code,13,60500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-386,0.07,0.00,0.33
Iris Platform,myaifrontdesk.com,787 area code,13,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-787,0.07,0.00,0.33
Iris Platform,myaifrontdesk.com,912 area code,14,60500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-360,0.13,0.00,0.33
Iris Platform,myaifrontdesk.com,256 area code,14,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-256,0.07,0.00,0.33
Iris Platform,myaifrontdesk.com,423 area code,14,60500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-124,0.07,0.00,0.33
Iris Platform,myaifrontdesk.com,980 area code,15,60500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-394,0.07,0.00,0.33
Iris Platform,myaifrontdesk.com,858 area code,16,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-858,0.07,0.00,0.33
Iris Platform,myaifrontdesk.com,318 area code,20,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-318,0.03,0.00,0.33
Iris Platform,myaifrontdesk.com,585 area code,23,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-585,0.03,0.00,0.33
Iris Platform,myaifrontdesk.com,980 area code,24,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-980,0.03,0.00,0.33
Iris Platform,myaifrontdesk.com,610 area code,27,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-610,0.01,0.00,0.33
Iris Platform,myaifrontdesk.com,864 area code,27,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-864,0.01,0.00,0.33
Iris Platform,myaifrontdesk.com,956 area code,28,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-956,0.01,0.00,0.33
Iris Platform,myaifrontdesk.com,939 area code,3,49500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-378,0.74,0.00,0.33
Iris Platform,myaifrontdesk.com,location of area code 941,5,49500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-380,0.63,0.00,0.33
Iris Platform,myaifrontdesk.com,775 area code,5,49500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-290,0.63,0.00,0.33
Iris Platform,myaifrontdesk.com,419 area code,5,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-419,0.46,0.00,0.33
Iris Platform,myaifrontdesk.com,607 area code,6,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-607,0.51,0.00,0.33
Iris Platform,myaifrontdesk.com,724 area code,7,49500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-266,0.46,0.00,0.33
Iris Platform,myaifrontdesk.com,573 area code,8,49500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-189,0.40,0.00,0.33
Iris Platform,myaifrontdesk.com,848 area code,8,49500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-329,0.19,0.00,0.33
Iris Platform,myaifrontdesk.com,859 area code,8,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-859,0.14,0.00,0.33
Iris Platform,myaifrontdesk.com,857 area code,10,49500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-334,0.27,0.00,0.33
Iris Platform,myaifrontdesk.com,551 area code,10,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-551,0.27,0.00,0.33
Iris Platform,myaifrontdesk.com,618 area code,10,49500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-214,0.14,0.00,0.33
Iris Platform,myaifrontdesk.com,781 area code,10,49500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-294,0.10,0.00,0.33
Iris Platform,myaifrontdesk.com,857 area code,11,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-Area%20Code%20857,0.14,0.00,0.33
Iris Platform,myaifrontdesk.com,856 area code,11,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-856,0.10,0.00,0.33
Iris Platform,myaifrontdesk.com,828 area code,11,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-828,0.08,0.00,0.33
Iris Platform,myaifrontdesk.com,831 area code,12,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-831,0.10,0.00,0.33
Iris Platform,myaifrontdesk.com,570 area code,12,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-570,0.08,0.00,0.33
Iris Platform,myaifrontdesk.com,440 area code,15,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-440,0.06,0.00,0.33
Iris Platform,myaifrontdesk.com,telephone area code 304,15,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-304,0.06,0.00,0.33
Iris Platform,myaifrontdesk.com,863 area code,16,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-863,0.06,0.00,0.33
Iris Platform,myaifrontdesk.com,479 area code,16,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-479,0.06,0.00,0.33
Iris Platform,myaifrontdesk.com,915 area code,16,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-915,0.06,0.00,0.33
Iris Platform,myaifrontdesk.com,734 area code,16,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-734,0.03,0.00,0.33
Iris Platform,myaifrontdesk.com,857 area code,21,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-Area%20Code%20857,0.03,0.00,0.33
Iris Platform,myaifrontdesk.com,607 area code,22,49500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-204,0.03,0.00,0.33
Iris Platform,myaifrontdesk.com,419 area code,23,49500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-123,0.03,0.00,0.33
Iris Platform,myaifrontdesk.com,724 area code,29,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-724,0.01,0.00,0.33
Iris Platform,myaifrontdesk.com,406 area code,32,49500,0.00,https://app.myaifrontdesk.com/blog/area-code-406,0.01,0.00,0.33
Iris Platform,myaifrontdesk.com,337 area code,5,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-87,0.52,0.00,0.33
Iris Platform,myaifrontdesk.com,940 area code,5,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-379,0.41,0.00,0.33
Iris Platform,myaifrontdesk.com,989 area code,5,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-398,0.41,0.00,0.33
Iris Platform,myaifrontdesk.com,778 area code,5,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-291,0.41,0.00,0.33
Iris Platform,myaifrontdesk.com,361 area code,5,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-99,0.41,0.00,0.33
Iris Platform,myaifrontdesk.com,715 area code,6,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-259,0.41,0.00,0.33
Iris Platform,myaifrontdesk.com,806 area code,7,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-305,0.38,0.00,0.33
Iris Platform,myaifrontdesk.com,985 area code,8,40500,0.00,https://app.myaifrontdesk.com/blog/area-code-985,0.33,0.00,0.33
Iris Platform,myaifrontdesk.com,636 area code,8,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-223,0.33,0.00,0.33
Iris Platform,myaifrontdesk.com,316 area code,8,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-73,0.33,0.00,0.33
Iris Platform,myaifrontdesk.com,225 area code,8,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-23,0.08,0.00,0.33
Iris Platform,myaifrontdesk.com,location of area code 218,9,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-18,0.08,0.00,0.33
Iris Platform,myaifrontdesk.com,309 area code,10,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-67,0.12,0.00,0.33
Iris Platform,myaifrontdesk.com,763 area code,11,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-282,0.12,0.00,0.33
Iris Platform,myaifrontdesk.com,319 area code,11,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-76,0.08,0.00,0.33
Iris Platform,myaifrontdesk.com,905 area code,11,40500,0.00,https://app.myaifrontdesk.com/blog/area-code-905,0.08,0.00,0.33
Iris Platform,myaifrontdesk.com,864 code area,11,40500,0.00,https://app.myaifrontdesk.com/blog/area-code-864,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,651 area code,12,40500,0.00,https://app.myaifrontdesk.com/blog/area-code-651,0.08,0.00,0.33
Iris Platform,myaifrontdesk.com,virginia 703,12,40500,0.00,https://app.myaifrontdesk.com/blog/area-code-703,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,940 area code,13,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-379,0.06,0.00,0.33
Iris Platform,myaifrontdesk.com,802 area code,14,40500,0.00,https://app.myaifrontdesk.com/blog/area-code-802,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,984 area code,14,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-395,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,san francisco area code 650,15,40500,0.00,https://app.myaifrontdesk.com/blog/area-code-650,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,606 area code,16,40500,0.00,https://app.myaifrontdesk.com/blog/area-code-606,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,985 area code,18,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-396,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,604 area code,18,40500,0.00,https://app.myaifrontdesk.com/blog/area-code-604,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,865 area code,21,40500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-341,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,dialing code 210,22,40500,0.00,https://app.myaifrontdesk.com/blog/area-code-210,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,location of area code 218,23,40500,0.00,https://app.myaifrontdesk.com/blog/area-code-218,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,705 area code,4,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-705,0.42,0.00,0.33
Iris Platform,myaifrontdesk.com,478 area code,5,33100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-148,0.34,0.00,0.33
Iris Platform,myaifrontdesk.com,830 area code,5,33100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-322,0.34,0.00,0.33
Iris Platform,myaifrontdesk.com,613 area code,6,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-613,0.34,0.00,0.33
Iris Platform,myaifrontdesk.com,231 area code,6,33100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-28,0.34,0.00,0.33
Iris Platform,myaifrontdesk.com,phone prefix 714,7,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-714,0.07,0.00,0.33
Iris Platform,myaifrontdesk.com,574 area code,8,33100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-190,0.27,0.00,0.33
Iris Platform,myaifrontdesk.com,telephone code 714,8,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-714,0.27,0.00,0.33
Iris Platform,myaifrontdesk.com,435 area code,9,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-435,0.18,0.00,0.33
Iris Platform,myaifrontdesk.com,location of area code 509,9,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-509,0.07,0.00,0.33
Iris Platform,myaifrontdesk.com,972 code area,9,33100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-390,0.07,0.00,0.33
Iris Platform,myaifrontdesk.com,260 area code,10,33100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-43,0.12,0.00,0.33
Iris Platform,myaifrontdesk.com,785 area code,10,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-785,0.09,0.00,0.33
Iris Platform,myaifrontdesk.com,870 area code,12,33100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-345,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,218 area code,12,33100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-18,0.04,0.00,0.33
Iris Platform,myaifrontdesk.com,810 area code,13,33100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-309,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,connecticut 203,14,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-203,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,location of area code 609,15,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-609,0.04,0.00,0.33
Iris Platform,myaifrontdesk.com,arizona 602 area code,15,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-602,0.04,0.00,0.33
Iris Platform,myaifrontdesk.com,area 602 located,15,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-602,0.04,0.00,0.33
Iris Platform,myaifrontdesk.com,area 614 telephone code,16,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-614,0.04,0.00,0.33
Iris Platform,myaifrontdesk.com,area code is 614,17,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-614,0.04,0.00,0.33
Iris Platform,myaifrontdesk.com,705 area code,17,33100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-251,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,201,18,33100,1.29,https://app.myaifrontdesk.com/blog/area-code-201,0.02,0.15,0.05
Iris Platform,myaifrontdesk.com,telephone prefix 216,19,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-216,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,telephone prefix 216,23,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-216,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,475 area code,23,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-475,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,260 area code,27,33100,0.00,https://app.myaifrontdesk.com/blog/area-code-260,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,area code 301 maryland,4,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-59,0.40,0.00,0.33
Iris Platform,myaifrontdesk.com,563 area code,4,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-184,0.35,0.00,0.33
Iris Platform,myaifrontdesk.com,area code for 226,5,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-24,0.27,0.00,0.33
Iris Platform,myaifrontdesk.com,712 area code,6,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-256,0.27,0.00,0.33
Iris Platform,myaifrontdesk.com,location of area code 260,7,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-43,0.27,0.00,0.33
Iris Platform,myaifrontdesk.com,414 area code wisconsin,7,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-118,0.25,0.00,0.33
Iris Platform,myaifrontdesk.com,area code 563 iowa,7,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-184,0.22,0.00,0.33
Iris Platform,myaifrontdesk.com,762 area code,7,27100,0.00,https://app.myaifrontdesk.com/blog/area-code-762,0.22,0.00,0.33
Iris Platform,myaifrontdesk.com,telephone area code 316,9,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-73,0.22,0.00,0.33
Iris Platform,myaifrontdesk.com,301,9,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-59,0.22,0.00,0.05
Iris Platform,myaifrontdesk.com,code area 972,9,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-390,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,416 code area,10,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-120,0.03,0.00,0.33
Iris Platform,myaifrontdesk.com,325 area code,11,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-80,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,479 code,11,27100,0.00,https://app.myaifrontdesk.com/blog/area-code-479,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,269 area code,11,27100,0.00,https://app.myaifrontdesk.com/blog/area-code-269,0.03,0.00,0.33
Iris Platform,myaifrontdesk.com,area code 860 connecticut,13,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-337,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,620 area code,13,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-216,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,567 area code,13,27100,0.00,https://www.myaifrontdesk.com/area-code/imported-item-186,0.04,0.00,0.33
